close,fclose,fhigh,flow,fopen,fvolume,high,low,open,priceDate,symbol,uclose,uhigh,ulow,uopen,uvolume,volume,id,key,subkey,date,updated
243.257,243.257,248.163,239.063,239.82,145914567.00000015,248.163,239.063,239.82,2021-01-04,TSLA,729.77,744.4899,717.1895,719.46,48638189,145914567.00000015,HISTORICAL_PRICES,TSLA,,1609718400000,1661544965000
235.223,235.223,239.573,230.373,233.33,148949784.00000015,239.573,230.373,233.33,2020-12-31,TSLA,705.67,718.72,691.12,699.99,49649928,148949784.00000015,HISTORICAL_PRICES,TSLA,,1609372800000,1661544968000
231.593,231.593,232.2,222.787,224,128538063.00000012,232.2,222.787,224,2020-12-30,TSLA,694.78,696.6,668.3603,672,42846021,128538063.00000012,HISTORICAL_PRICES,TSLA,,1609286400000,1661544964000
221.997,221.997,223.3,218.333,220.333,68732433.00000007,223.3,218.333,220.333,2020-12-29,TSLA,665.99,669.9,655,661,22910811,68732433.00000007,HISTORICAL_PRICES,TSLA,,1609200000000,1661544964000
221.23,221.23,227.133,220.267,224.837,96835683.0000001,227.133,220.267,224.837,2020-12-28,TSLA,663.69,681.4,660.8,674.51,32278561,96835683.0000001,HISTORICAL_PRICES,TSLA,,1609113600000,1661544969000
220.59,220.59,222.03,213.667,214.33,68596704.00000007,222.03,213.667,214.33,2020-12-24,TSLA,661.77,666.09,641,642.99,22865568,68596704.00000007,HISTORICAL_PRICES,TSLA,,1608768000000,1661544963000
215.327,215.327,217.167,207.523,210.733,99518916.0000001,217.167,207.523,210.733,2020-12-23,TSLA,645.98,651.4999,622.5701,632.2,33172972,99518916.0000001,HISTORICAL_PRICES,TSLA,,1608681600000,1661544969000
213.447,213.447,216.627,204.743,216,155584932.00000018,216.627,204.743,216,2020-12-22,TSLA,640.34,649.88,614.23,648,51861644,155584932.00000018,HISTORICAL_PRICES,TSLA,,1608595200000,1661544962000
216.62,216.62,222.833,215.357,222.08,174135792.00000018,222.833,215.357,222.08,2020-12-21,TSLA,649.86,668.5,646.07,666.24,58045264,174135792.00000018,HISTORICAL_PRICES,TSLA,,1608508800000,1661544969000
231.667,231.667,231.667,209.513,222.967,666378582.0000007,231.667,209.513,222.967,2020-12-18,TSLA,695,695,628.54,668.9,222126194,666378582.0000007,HISTORICAL_PRICES,TSLA,,1608249600000,1661544971000
218.633,218.633,219.607,206.5,209.397,168810432.00000018,219.607,206.5,209.397,2020-12-17,TSLA,655.9,658.82,619.5,628.19,56270144,168810432.00000018,HISTORICAL_PRICES,TSLA,,1608163200000,1661544962000
207.59,207.59,210.833,201.667,209.41,126287439.00000012,210.833,201.667,209.41,2020-12-16,TSLA,622.77,632.5,605,628.23,42095813,126287439.00000012,HISTORICAL_PRICES,TSLA,,1608076800000,1661544963000
211.083,211.083,215.633,207.933,214.427,135670677.00000015,215.633,207.933,214.427,2020-12-15,TSLA,633.25,646.9,623.8,643.28,45223559,135670677.00000015,HISTORICAL_PRICES,TSLA,,1607990400000,1661544967000
213.277,213.277,214.25,203.4,206.333,156121947.00000018,214.25,203.4,206.333,2020-12-14,TSLA,639.83,642.7499,610.2001,619,52040649,156121947.00000018,HISTORICAL_PRICES,TSLA,,1607904000000,1661544969000
203.33,203.33,208,198.933,205.003,139424922.00000015,208,198.933,205.003,2020-12-11,TSLA,609.99,624,596.8,615.01,46474974,139424922.00000015,HISTORICAL_PRICES,TSLA,,1607644800000,1661544965000
209.023,209.023,209.25,188.78,191.457,201249459.0000002,209.25,188.78,191.457,2020-12-10,TSLA,627.07,627.75,566.34,574.37,67083153,201249459.0000002,HISTORICAL_PRICES,TSLA,,1607558400000,1661544972000
201.493,201.493,218.107,196,217.897,213873570.00000024,218.107,196,217.897,2020-12-09,TSLA,604.48,654.32,588,653.69,71291190,213873570.00000024,HISTORICAL_PRICES,TSLA,,1607472000000,1661544964000
216.627,216.627,217.093,206.167,208.502,192795087.0000002,217.093,206.167,208.502,2020-12-08,TSLA,649.88,651.28,618.5,625.505,64265029,192795087.0000002,HISTORICAL_PRICES,TSLA,,1607385600000,1661544966000
213.92,213.92,216.262,201.017,201.64,168929127.00000018,216.262,201.017,201.64,2020-12-07,TSLA,641.76,648.7856,603.05,604.9197,56309709,168929127.00000018,HISTORICAL_PRICES,TSLA,,1607299200000,1661544971000
199.68,199.68,199.68,195.167,197.003,88203942.00000009,199.68,195.167,197.003,2020-12-04,TSLA,599.04,599.04,585.5,591.01,29401314,88203942.00000009,HISTORICAL_PRICES,TSLA,,1607040000000,1661544964000
197.793,197.793,199.657,194.143,196.673,127656009.00000012,199.657,194.143,196.673,2020-12-03,TSLA,593.38,598.97,582.43,590.02,42552003,127656009.00000012,HISTORICAL_PRICES,TSLA,,1606953600000,1661544971000
189.607,189.607,190.513,180.403,185.48,143326959.00000015,190.513,180.403,185.48,2020-12-02,TSLA,568.82,571.54,541.21,556.44,47775653,143326959.00000015,HISTORICAL_PRICES,TSLA,,1606867200000,1661544962000
194.92,194.92,199.283,190.683,199.197,121148496.00000012,199.283,190.683,199.197,2020-12-01,TSLA,584.76,597.85,572.05,597.59,40382832,121148496.00000012,HISTORICAL_PRICES,TSLA,,1606780800000,1661544963000
189.2,189.2,202.6,184.837,200.737,189009156.0000002,202.6,184.837,200.737,2020-11-30,TSLA,567.6,607.8,554.51,602.21,63003052,189009156.0000002,HISTORICAL_PRICES,TSLA,,1606694400000,1661544963000
195.253,195.253,199.593,192.817,193.72,112683234.00000012,199.593,192.817,193.72,2020-11-27,TSLA,585.76,598.78,578.45,581.16,37561078,112683234.00000012,HISTORICAL_PRICES,TSLA,,1606435200000,1661544965000
191.333,191.333,191.333,181.79,183.353,146790486.00000015,191.333,181.79,183.353,2020-11-25,TSLA,574,574,545.37,550.06,48930162,146790486.00000015,HISTORICAL_PRICES,TSLA,,1606262400000,1661544968000
185.127,185.127,186.663,175.4,180.133,160945482.00000018,186.663,175.4,180.133,2020-11-24,TSLA,555.38,559.99,526.2,540.4,53648494,160945482.00000018,HISTORICAL_PRICES,TSLA,,1606176000000,1661544971000
173.95,173.95,175.333,167.263,167.833,150780912.00000015,175.333,167.263,167.833,2020-11-23,TSLA,521.85,526,501.79,503.5,50260304,150780912.00000015,HISTORICAL_PRICES,TSLA,,1606089600000,1661544964000
163.203,163.203,167.5,163.02,165.997,98735766.0000001,167.5,163.02,165.997,2020-11-20,TSLA,489.61,502.5,489.06,497.99,32911922,98735766.0000001,HISTORICAL_PRICES,TSLA,,1605830400000,1661544969000
166.423,166.423,169.537,162.523,164,187426038.0000002,169.537,162.523,164,2020-11-19,TSLA,499.27,508.6112,487.57,492,62475346,187426038.0000002,HISTORICAL_PRICES,TSLA,,1605744000000,1661544972000
162.213,162.213,165.333,147.833,149.45,234132072.00000024,165.333,147.833,149.45,2020-11-18,TSLA,486.64,496,443.5001,448.35,78044024,234132072.00000024,HISTORICAL_PRICES,TSLA,,1605657600000,1661544964000
147.203,147.203,154,144.337,153.39,183564843.00000015,154,144.337,153.39,2020-11-17,TSLA,441.61,462,433.01,460.17,61188281,183564843.00000015,HISTORICAL_PRICES,TSLA,,1605571200000,1661544971000
136.03,136.03,137.483,134.696,136.31,80515905.00000009,137.483,134.696,136.31,2020-11-16,TSLA,408.09,412.45,404.0868,408.93,26838635,80515905.00000009,HISTORICAL_PRICES,TSLA,,1605484800000,1661544962000
