priceDate,open,low,high,close,volume
1657670400000000000,225.5,225.033,242.06,237.04,97954497.0000001
1657584000000000000,236.847,228.368,239.773,233.07,87930960.00000009
1657497600000000000,252.103,233.627,253.063,234.343,99509220.0000001
1657238400000000000,242.333,241.161,254.98,250.763,101854086.0000001
1657152000000000000,233.92,232.21,245.362,244.543,81930690.00000009
1657065600000000000,230.78,227.187,234.563,231.733,71853630.00000007
1656979200000000000,223.0,216.167,233.147,233.067,84779112.00000009
1656633600000000000,227.0,222.12,230.23,227.263,74460444.00000007
1656547200000000000,224.51,218.863,229.457,224.473,94600452.0000001
1656460800000000000,230.5,222.273,231.173,228.49,82897254.00000009
1656374400000000000,244.483,232.343,249.97,232.663,90666501.00000007
1656288000000000000,249.367,242.566,252.07,244.92,89178312.00000009
1656028800000000000,237.468,236.087,246.067,245.707,95770695.0000001
1655942400000000000,237.905,228.637,239.317,235.07,104202678.0000001
1655856000000000000,234.503,233.827,246.833,236.087,101527260.0000001
1655769600000000000,224.603,224.333,243.577,237.037,122792955.00000012
1655424000000000000,213.433,213.197,220.969,216.76,92641770.0000001
1655337600000000000,222.737,208.693,225.167,213.1,107390700.00000012
1655251200000000000,220.917,218.15,235.663,233.0,119131935.00000012
1655164800000000000,218.287,211.737,226.33,220.89,97988796.0000001
1655078400000000000,223.167,214.683,226.633,215.737,102767262.0000001
1654819200000000000,235.157,227.913,239.5,232.23,98090898.0000001
1654732800000000000,249.34,239.327,255.547,239.707,96491307.0000001
1654646400000000000,240.087,239.177,249.963,241.867,76210620.00000007
1654560000000000000,234.0,230.093,239.997,238.887,72808602.00000007
1654473600000000000,244.353,234.35,244.867,238.28,84204522.00000009
1654214400000000000,243.225,233.418,247.797,234.517,112393737.00000012
1654128000000000000,244.157,242.067,264.21,258.333,93473118.0000001
1654041600000000000,251.72,243.64,257.327,246.79,77247963.00000007
1653955200000000000,257.947,244.743,259.6,252.753,101914371.0000001
1653609600000000000,241.083,240.177,253.267,253.21,89294982.00000009
1653523200000000000,220.473,217.887,239.557,235.91,106003344.00000012
1653436800000000000,207.95,207.67,223.107,219.6,92139324.0000001
1653350400000000000,217.843,206.857,217.973,209.387,89092515.00000009
1653264000000000000,218.34,212.687,226.652,224.967,88903638.00000009
1653004800000000000,237.997,211.0,240.527,221.3,144973305.00000015
1652918400000000000,235.667,231.37,244.667,236.473,90296673.00000007
1652832000000000000,248.173,233.603,253.5,236.603,87811812.00000009
1652745600000000000,249.12,242.95,254.827,253.87,80236110.00000009
1652659200000000000,255.72,239.696,256.587,241.457,86098539.00000009
1652400000000000000,257.827,250.522,262.45,256.53,92150724.0000001
1652313600000000000,233.667,226.667,253.22,242.667,140312862.00000015
1652227200000000000,265.0,242.4,269.923,244.667,97224459.0000001
1652140800000000000,273.103,258.083,275.12,266.68,84401631.00000009
1652054400000000000,278.817,260.383,281.877,262.37,90810222.00000007
1651795200000000000,295.667,281.035,296.0,288.55,72903111.00000007
1651708800000000000,313.07,285.9,315.2,291.093,92519193.0000001
1651622400000000000,301.313,295.093,318.5,317.54,81643704.00000009
1651536000000000000,301.06,296.197,308.027,303.083,63709575.00000007
1651449600000000000,286.923,282.677,302.12,300.98,75781371.00000007
1651190400000000000,300.75,290.0,311.467,290.253,88132995.00000009
1651104000000000000,299.993,273.9,300.0,292.503,124948527.00000012
1651017600000000000,299.527,292.453,306.0,293.837,76956396.00000007
1650931200000000000,331.81,291.667,333.333,292.14,136133667.00000015
1650844800000000000,326.323,325.1,336.207,332.673,68341335.00000007
1650585600000000000,338.303,331.333,344.95,335.017,69696558.00000007
1650499200000000000,358.243,332.138,364.073,336.26,105416337.0000001
1650412800000000000,343.333,325.083,344.667,325.733,70711326.00000007
1650326400000000000,335.02,331.775,344.98,342.717,49847832.00000005
1650240000000000000,329.677,324.47,338.307,334.763,51715221.00000005
1649894400000000000,333.097,327.397,337.57,328.333,58422405.00000006
1649808000000000000,327.025,324.366,342.08,340.79,55121211.00000006
1649721600000000000,332.547,325.533,340.397,328.983,65976096.00000007
1649635200000000000,326.8,324.88,336.156,325.31,59357205.00000006
1649376000000000000,347.737,340.812,349.48,341.83,55013688.00000006
1649289600000000000,350.797,340.513,358.863,352.42,79447059.00000009
1649203200000000000,357.823,342.567,359.667,348.587,89348535.00000009
1649116800000000000,378.767,362.433,384.29,363.753,80075019.00000009
1649030400000000000,363.127,357.51,383.303,381.817,82177701.00000009
1648771200000000000,360.383,355.547,364.917,361.53,54263223.00000006
1648684800000000000,364.857,358.88,367.713,359.2,48992757.00000005
1648598400000000000,363.723,361.333,371.317,364.663,59865006.00000006
1648512000000000000,369.33,357.703,371.59,366.523,73614819.00000007
1648425600000000000,355.033,351.2,365.96,363.947,102506079.0000001
1648166400000000000,336.0,332.44,340.6,336.88,62031546.00000007
1648080000000000000,336.577,329.6,341.497,337.973,68920878.00000007
1647993600000000000,326.647,325.467,346.9,333.037,120676149.00000012
1647907200000000000,310.0,307.25,332.62,331.327,105868557.0000001
1647820800000000000,304.993,302.363,314.283,307.053,81981648.00000009
1647561600000000000,291.497,289.13,302.617,301.797,100414191.0000001
1647475200000000000,276.997,275.239,291.667,290.533,66582972.00000007
