date,weather_code,temperature_2m_max,temperature_2m_min
2019-12-14 05:00:00,63.0,13.0675,5.9675
2019-12-15 05:00:00,3.0,8.367499,1.1175
2019-12-16 05:00:00,73.0,2.1175,-0.63250005
2019-12-17 05:00:00,73.0,1.5174999,-0.0325
2019-12-18 05:00:00,71.0,3.5175,-4.9325
2019-12-19 05:00:00,2.0,-2.8325,-8.6825
2019-12-20 05:00:00,0.0,1.3175,-5.8824997
2019-12-21 05:00:00,3.0,0.4175,-6.1324997
2019-12-22 05:00:00,0.0,7.8675003,-4.3325
2019-12-23 05:00:00,1.0,10.9175,-0.5825
2019-12-24 05:00:00,1.0,7.2675004,-1.6325
2019-12-25 05:00:00,2.0,6.2675004,-3.5825
2019-12-26 05:00:00,3.0,7.1175003,-1.5825
2019-12-27 05:00:00,3.0,10.0175,6.1675
2019-12-28 05:00:00,2.0,8.9175,1.2674999
2019-12-29 05:00:00,55.0,5.9675,-0.4825
2019-12-30 05:00:00,63.0,5.8175,3.0674999
2019-12-31 05:00:00,51.0,6.4675,2.1675
2020-01-01 05:00:00,3.0,4.4175,-1.1325
2020-01-02 05:00:00,2.0,8.8175,-2.1825001
2020-01-03 05:00:00,53.0,9.117499,2.2675
2020-01-04 05:00:00,53.0,10.0675,5.0175004
2020-01-05 05:00:00,51.0,5.1175003,-1.1825
2020-01-06 05:00:00,73.0,7.5675,-1.0825
2020-01-07 05:00:00,71.0,6.1175003,-0.73249996
2020-01-08 05:00:00,71.0,5.0175004,-2.1325
2020-01-09 05:00:00,3.0,0.51750004,-5.0825
2020-01-10 05:00:00,3.0,11.4175,-0.8325
2020-01-11 05:00:00,51.0,17.317501,7.7675004
2020-01-12 05:00:00,61.0,18.667501,5.4675
2020-01-13 05:00:00,51.0,9.117499,1.1675
2020-01-14 05:00:00,51.0,6.8175,1.5174999
2020-01-15 05:00:00,53.0,9.1675,2.6675
2020-01-16 05:00:00,55.0,8.7175,0.5675
2020-01-17 05:00:00,3.0,0.017500002,-5.8325
2020-01-18 05:00:00,75.0,2.7175,-6.1825
2020-01-19 05:00:00,53.0,6.8675003,-1.5825
2020-01-20 05:00:00,3.0,-0.9325,-7.0825
2020-01-21 05:00:00,1.0,0.9675,-7.2825
2020-01-22 05:00:00,1.0,2.2175,-5.3325
2020-01-23 05:00:00,1.0,6.1675,-4.6324997
2020-01-24 05:00:00,2.0,9.867499,-2.8325
2020-01-25 05:00:00,63.0,10.367499,0.9175
2020-01-26 05:00:00,3.0,7.6675,0.8175
2020-01-27 05:00:00,3.0,7.1175003,-0.2825
2020-01-28 05:00:00,3.0,5.5175004,-0.5325
2020-01-29 05:00:00,3.0,4.0675,-2.8325
2020-01-30 05:00:00,3.0,1.5675,-5.6324997
2020-01-31 05:00:00,53.0,6.3175,-2.2825
2020-02-01 05:00:00,51.0,5.4175,-1.0825
2020-02-02 05:00:00,71.0,6.2675004,0.51750004
2020-02-03 05:00:00,51.0,12.3175,0.1675
2020-02-04 05:00:00,53.0,12.9675,3.2675
2020-02-05 05:00:00,51.0,8.7175,3.1675
2020-02-06 05:00:00,63.0,6.7675004,2.6675
2020-02-07 05:00:00,73.0,14.3175,0.2675
2020-02-08 05:00:00,3.0,4.8175,-2.4825
2020-02-09 05:00:00,53.0,6.6675,-2.6825001
2020-02-10 05:00:00,61.0,8.5675,3.7175
2020-02-11 05:00:00,61.0,7.7175,5.4675
2020-02-12 05:00:00,51.0,6.8675003,0.8175
2020-02-13 05:00:00,61.0,6.5175004,2.5175
2020-02-14 05:00:00,1.0,2.4675,-7.3824997
2020-02-15 05:00:00,1.0,-1.9825001,-9.3325
2020-02-16 05:00:00,3.0,7.4675,-2.6325
2020-02-17 05:00:00,3.0,9.6675,-0.3325
2020-02-18 05:00:00,51.0,9.3175,0.4175
2020-02-19 05:00:00,3.0,7.9675,-1.0325
2020-02-20 05:00:00,3.0,3.1675,-3.5325
2020-02-21 05:00:00,0.0,1.4175,-6.4824996
2020-02-22 05:00:00,0.0,8.617499,-3.6325
2020-02-23 05:00:00,0.0,11.2675,-2.7825
2020-02-24 05:00:00,3.0,12.4175,-0.73249996
2020-02-25 05:00:00,61.0,10.5675,4.5675
2020-02-26 05:00:00,3.0,10.617499,5.4175
2020-02-27 05:00:00,63.0,9.4675,-1.3325
2020-02-28 05:00:00,2.0,4.9675,-2.6825001
2020-02-29 05:00:00,71.0,2.5175,-4.1825
2020-03-01 05:00:00,1.0,6.6675,-4.8325
2020-03-02 05:00:00,3.0,11.7675,-0.88250005
2020-03-03 05:00:00,63.0,13.2175,6.3175
2020-03-04 05:00:00,51.0,13.0175,4.9675
2020-03-05 05:00:00,1.0,10.0675,1.1675
2020-03-06 05:00:00,53.0,7.4175,0.9175
2020-03-07 05:00:00,51.0,8.0675,0.2175
2020-03-08 05:00:00,1.0,13.617499,-2.0825
2020-03-09 05:00:00,1.0,19.567501,3.0175
2020-03-10 05:00:00,61.0,15.6675,7.8175
2020-03-11 05:00:00,3.0,12.4175,2.6175
2020-03-12 05:00:00,51.0,9.2175,1.8675
2020-03-13 05:00:00,61.0,19.667501,7.6175003
2020-03-14 05:00:00,51.0,12.367499,3.7675
2020-03-15 05:00:00,3.0,10.9175,2.5674999
2020-03-16 05:00:00,3.0,6.6175003,-2.0825
2020-03-17 05:00:00,71.0,12.0675,3.7675
2020-03-18 05:00:00,51.0,9.7175,0.7175
2020-03-19 05:00:00,63.0,12.4675,5.0675
2020-03-20 05:00:00,53.0,23.817501,7.5175004
2020-03-21 05:00:00,3.0,15.2675,3.2175
2020-03-22 05:00:00,3.0,6.0675,-0.3825
2020-03-23 05:00:00,73.0,6.3175,2.0175
2020-03-24 05:00:00,3.0,13.5175,0.6675
2020-03-25 05:00:00,51.0,8.0675,2.8675
2020-03-26 05:00:00,3.0,12.8175,0.4175
2020-03-27 05:00:00,51.0,18.0175,7.1675
2020-03-28 05:00:00,63.0,10.3175,5.1175003
2020-03-29 05:00:00,61.0,12.117499,7.2675004
2020-03-30 05:00:00,61.0,11.8175,4.3675003
2020-03-31 05:00:00,53.0,8.6675,4.4675
2020-04-01 05:00:00,3.0,12.3175,2.2175
2020-04-02 05:00:00,3.0,14.0675,2.3675
2020-04-03 05:00:00,55.0,9.9175,5.7175
2020-04-04 05:00:00,51.0,14.5175,6.9175
2020-04-05 05:00:00,3.0,15.617499,5.6175003
2020-04-06 05:00:00,51.0,17.4675,7.5175004
2020-04-07 05:00:00,3.0,16.817501,7.0675
2020-04-08 05:00:00,63.0,19.167501,8.117499
2020-04-09 05:00:00,63.0,16.6175,5.7175
2020-04-10 05:00:00,53.0,9.4175,3.4175
2020-04-11 05:00:00,2.0,11.3175,2.0175
2020-04-12 05:00:00,51.0,14.5675,1.5174999
2020-04-13 05:00:00,63.0,18.2675,12.1675
2020-04-14 05:00:00,51.0,13.3175,6.0175004
2020-04-15 05:00:00,51.0,10.7175,4.7175
2020-04-16 05:00:00,51.0,8.8175,2.7175
2020-04-17 05:00:00,53.0,10.2675,-0.3325
2020-04-18 05:00:00,55.0,8.7175,3.1675
2020-04-19 05:00:00,3.0,15.5175,1.6175
2020-04-20 05:00:00,3.0,11.9675,6.1175003
2020-04-21 05:00:00,63.0,13.9675,4.0675
2020-04-22 05:00:00,3.0,9.367499,0.61749995
2020-04-23 05:00:00,53.0,9.7675,0.61749995
2020-04-24 05:00:00,63.0,9.0675,6.1175003
2020-04-25 05:00:00,3.0,16.5175,3.0674999
2020-04-26 05:00:00,61.0,9.9675,5.7675004
2020-04-27 05:00:00,53.0,8.2175,4.5175004
2020-04-28 05:00:00,2.0,18.0175,2.4175
2020-04-29 05:00:00,53.0,13.7175,5.2175
2020-04-30 05:00:00,63.0,15.7175,10.0675
2020-05-01 05:00:00,63.0,18.4675,11.2675
2020-05-02 05:00:00,2.0,21.5175,8.6675
2020-05-03 05:00:00,63.0,24.817501,11.5175
2020-05-04 05:00:00,53.0,20.417501,8.4175
2020-05-05 05:00:00,3.0,15.0675,6.5175004
2020-05-06 05:00:00,53.0,11.617499,6.8175
2020-05-07 05:00:00,2.0,17.0175,5.5175004
2020-05-08 05:00:00,61.0,11.0175,5.8175
2020-05-09 05:00:00,71.0,8.3175,0.61749995
2020-05-10 05:00:00,2.0,16.1175,2.6675
2020-05-11 05:00:00,61.0,14.5675,6.0175004
2020-05-12 05:00:00,2.0,14.6675,4.7675004
2020-05-13 05:00:00,2.0,16.067501,2.4175
2020-05-14 05:00:00,2.0,16.2175,4.7175
2020-05-15 05:00:00,61.0,27.3675,12.3175
2020-05-16 05:00:00,53.0,23.4675,14.367499
2020-05-17 05:00:00,3.0,16.9675,10.2175
2020-05-18 05:00:00,3.0,20.667501,10.2175
2020-05-19 05:00:00,1.0,18.8675,10.367499
2020-05-20 05:00:00,2.0,17.7175,7.8175
2020-05-21 05:00:00,3.0,16.567501,5.9175
